message,label
FINAL NOTICE: Your warranty is about to expire,spam
Did you see the email I sent this morning,ham
Congratulations! You've won an all-expense paid trip,spam
Can we reschedule our lunch date,ham
URGENT: Verify your information or account will be deleted,spam
I love the gift thank you so much,ham
Make thousands with this simple trick! No experience needed,spam
Are you free for a call this evening,ham
Hot deals on electronics! Everything must go,spam
Let me know if you need anything,ham
Your iTunes account has been charged $499. Cancel now,spam
The package should arrive by Friday,ham
EXCLUSIVE: Celebrity diet secrets revealed,spam
Can you pick up the dry cleaning,ham
You've been selected for a focus group! Earn $200,spam
How did your interview go,ham
ATTENTION: You have unpaid tolls. Pay now to avoid penalties,spam
See you at yoga class tomorrow,ham
Miracle skin cream! Look 20 years younger,spam
Thanks for the recommendation it was helpful,ham
WINNER WINNER! Claim your casino bonus now,spam
What time does the store close,ham
Your Amazon order is delayed. Update payment info,spam
Congratulations on your graduation,ham
FREE money management seminar! Limited seats,spam
Can you help me with my resume,ham
Your subscription is expiring! Renew now for 90% off,spam
I'll bring the dessert to the party,ham
URGENT: IRS lawsuit filed against you. Call immediately,spam
Do you have plans this weekend,ham
Get a FREE iPhone 15 Pro! First 100 customers only,spam
Thanks for the coffee this morning,ham
Your bank account is locked. Verify identity now,spam
What did you get on the test,ham
SHOCKING: This investment will change your life,spam
Can I get a ride to the station,ham
Congratulations! You've been approved for $50000,spam
Hope your first day at the new job went well,ham
LAST CALL! Your free trial ends today,spam
What are you doing for the holidays,ham
CLICK HERE to claim your inheritance money,spam
I found a great restaurant we should try,ham
Your credit card has been compromised! Secure it now,spam
Can you review this document for me,ham
AMAZING OPPORTUNITY! Be your own boss,spam
What should I wear to the wedding,ham
You have 3 unclaimed packages! Pay shipping to receive,spam
Thanks for covering my shift yesterday,ham
FREE CASH BACK! Shop now and save big,spam
Are we meeting at the usual spot,ham
URGENT medical alert! Your prescription is ready,spam
I'll see you at the conference next month,ham
You qualify for a new iPhone! Click to claim,spam
Can you explain that concept again,ham
WINNER! You've been selected for a $500 Walmart gift card,spam
Good luck with your presentation,ham
Your Netflix account is suspended. Update payment now,spam
What time is the appointment,ham
EXCLUSIVE dating site! Find your soulmate today,spam
Thanks for the advice really appreciate it,ham
FINAL REMINDER: You have a pending legal matter,spam
Do you want to go hiking this weekend,ham
GET RICH NOW! Proven system that works,spam
How's the new apartment,ham
Your tax refund is ready! Claim within 24 hours,spam
Can you bring chips to the potluck,ham
SHOCKING medical breakthrough! Order your supply now,spam
I'm thinking of you hope everything is ok,ham
ACT NOW! Limited quantity available,spam
What's your favorite type of cuisine,ham
Your parcel is waiting! Confirm delivery address,spam
Congratulations on the new house,ham
FREE samples! Just pay small shipping fee,spam
Let's plan a trip soon,ham
URGENT: Your vehicle warranty is expiring,spam
Can you call me when you get this,ham
You've won the lottery! Reply with your bank details,spam
Thanks for the birthday gift I love it,ham
BREAKING: Secret method to eliminate debt,spam
What are you up to tonight,ham
Your Apple ID has been locked for security reasons,spam
I'll meet you at the entrance,ham
Make money taking surveys! $100 per hour guaranteed,spam
How's your family doing,ham
ATTENTION: You have a tax refund of $2500 waiting,spam
Can you recommend a good book,ham
WINNER! Claim your prize before someone else does,spam
The meeting notes are attached,ham
Your PayPal account needs immediate attention,spam
What time should we leave,ham
EXCLUSIVE online pharmacy! No prescription required,spam
Thanks for listening I really needed that,ham
FREE cruise for 2! Just book your flights,spam
Are you coming to the reunion,ham
URGENT debt relief! You qualify for forgiveness,spam
I hope you have a wonderful weekend,ham
Your package delivery failed. Reschedule now,spam
Can you send me the address,ham
SHOCKING: Doctors hate this weight loss trick,spam
Congratulations on your new job,ham
Your Instagram account will be deleted unless you verify,spam
What did you think of the concert,ham
LAST CHANCE! Free money from the government,spam
I'll bring the kids over around 3,ham
You've inherited property! Contact us immediately,spam
Thanks for the ride home,ham
WINNER ALERT! You've won $10000 cash,spam
Can we schedule a video call,ham
Your subscription payment failed. Update card details now,spam
How did the date go,ham
EXCLUSIVE investment opportunity! Triple your money,spam
Let me know when you're available,ham
Your computer is infected! Download antivirus now,spam
I'm so proud of you,ham
FREE money just for signing up! No catch,spam
What are you getting dad for his birthday,ham
URGENT: Your electricity will be disconnected today,spam
Can you meet me at the library,ham
Miracle hair growth formula! Results in 7 days,spam
Thanks for being patient with me,ham
You qualify for mortgage refinancing! Save thousands,spam
Do you need a ride to the doctor,ham
ATTENTION: Your vehicle has unpaid parking tickets,spam
I'll call you after work,ham
Get a FREE credit report! Check your score now,spam
Can you babysit next Saturday,ham
BREAKING: New cryptocurrency will make you rich,spam
Hope you have a safe trip,ham
Your Microsoft account is compromised! Reset password now,spam
What should we name the baby,ham
LAST DAY! 80% off everything must go,spam
Can you help me study for the exam,ham
You've been randomly selected for a cash prize,spam
Thanks for the memories we made,ham
URGENT: Your Social Security benefits are suspended,spam
What are your plans for summer,ham
FREE vacation package! Book now pay nothing,spam
I'll save you a seat,ham
Your Google account login from unknown device detected,spam
Can you give me feedback on this,ham
WINNER! You've won a brand new Tesla,spam
Hope the surgery went well,ham
SHOCKING revelation! This one food is killing you,spam
What time is the party starting,ham
Your shipment is on hold. Pay customs fee immediately,spam
I appreciate everything you do,ham
EXCLUSIVE offer just for you! Act within 1 hour,spam
Can you drop off the documents,ham
You have unclaimed lottery winnings! Claim now,spam
Thanks for the support during tough times,ham
URGENT tax matter! You owe $5000 pay immediately,spam
What's the homework for Monday,ham
FREE dental implants! Limited time offer,spam
I'll be home by 6pm,ham
Your credit card is eligible for cashback! Click here,spam
Can you explain how this works,ham
WINNER! You've been chosen for a shopping spree,spam
Good luck on your driving test,ham
ATTENTION: Your court appearance is scheduled,spam
What should I bring to the picnic,ham
Get paid to test products! $500 per day,spam
I miss you so much,ham
Your Amazon Prime is expiring! Renew for 50% off,spam
Can you recommend a good mechanic,ham
SHOCKING news! You qualify for disability benefits,spam
Thanks for the flowers they're beautiful,ham
LAST CHANCE to claim your reward points,spam
Are you feeling better today,ham
Your phone bill is overdue. Pay now to avoid disconnection,spam
What time does your shift end,ham
FREE laptop! Just complete our offer,spam
I'll drop by after lunch,ham
URGENT legal notice! You are being sued,spam
Can you pick up some bread,ham
You've won an iPad! No purchase necessary,spam
Hope you're having a good day,ham
Your Facebook account will be closed! Verify now,spam
What are we watching tonight,ham
EXCLUSIVE: Invest in Bitcoin and retire early,spam
Thanks for all your help with the move,ham
Your vehicle registration is expired! Renew online,spam
Can we talk about something,ham
WINNER! Claim your all-inclusive resort vacation,spam
I found the perfect gift for her,ham
URGENT: Your student loan can be forgiven,spam
What time is checkout,ham
FREE trial! No credit card required but hurry,spam
I'll see you at the gym,ham
Your email account has been hacked! Change password now,spam
Can you help me tomorrow,ham
SHOCKING offer! New car for $99 per month,spam
Thanks for being there for me,ham
You have 5 unread messages from admirers,spam
What should we do this weekend,ham
URGENT: Confirm your banking information immediately,spam
I hope everything works out,ham
You've been pre-selected for a platinum credit card,spam
Can you walk the dog tonight,ham
LAST OPPORTUNITY! Free government money available,spam
What are you doing for Thanksgiving,ham
Your streaming service needs payment update now,spam
I'll bring the drinks,ham
EXCLUSIVE weight loss program! Guaranteed results,spam
Thanks for the wonderful evening,ham
You qualify for a reverse mortgage! Call now,spam
Can you meet me halfway,ham
WINNER! You've won a year supply of groceries,spam
Good morning sunshine,ham
Your Apple Watch is waiting! Claim your prize,spam
What did you have for lunch,ham
URGENT: Your PayPal account is limited,spam
I'll help you with that project,ham
FREE money management course! Enroll today,spam
Can you turn off the lights,ham
You've been approved for a $25000 loan,spam
Thanks for making me laugh,ham
BREAKING: Your neighborhood home values are skyrocketing,spam
What are you watching on TV,ham
Your subscription auto-renewal failed! Update payment,spam
I'll take care of dinner tonight,ham
EXCLUSIVE dating service! Meet singles now,spam
Can you recommend a good hotel,ham
You have a package waiting! Pay redelivery charge,spam
Hope your day gets better,ham
URGENT: Your medication is ready for pickup,spam
What time is the game tomorrow,ham
FREE samples of luxury products! Limited supply,spam
Thanks for trusting me,ham
Your LinkedIn profile has been viewed! See who,spam
Can you lend me 20 dollars,ham
WINNER! You've won a luxury cruise vacation,spam
I'm running a few minutes behind,ham
Your car insurance is too high! Get a quote now,spam
What's your new address,ham
SHOCKING: This supplement melts belly fat overnight,spam
I'll pick up the kids from school,ham
LAST CALL! Your warranty is about to expire,spam
Can you double check this for me,ham
You qualify for solar panels! Save on electricity,spam
Thanks for the encouragement,ham
Your mailbox is full! Upgrade storage now,spam
What are you craving for dinner,ham
FREE money from class action lawsuit! Claim yours,spam
I'll be right there,ham
URGENT: Your rent payment is overdue,spam
Can you help me set this up,ham
You've won tickets to the Super Bowl! Click to claim,spam
Hope you enjoy your vacation,ham
Your online order is delayed! Confirm shipping address,spam
What time should I pick you up,ham
EXCLUSIVE timeshare opportunity! Own paradise,spam
I believe in you,ham
ATTENTION: Your utilities will be shut off today,spam
Can you stop by the pharmacy,ham
Get a FREE MacBook! Limited availability,spam
Thanks for sharing that with me,ham
Your tax return is being audited! Respond immediately,spam
What's the plan for tonight,ham
WINNER! You've been selected for cash sweepstakes,spam
I'll wait for you outside,ham
URGENT: Your domain name is expiring soon,spam
Can you help me move this furniture,ham
You qualify for a free home security system,spam
Hope you had a good workout,ham
Your credit score has dropped! Check it now,spam
What time does the show start,ham
FREE teeth whitening! Professional results at home,spam
I'll meet you at the coffee shop,ham
SHOCKING: You may be entitled to compensation,spam
Can you explain this to me,ham
Your flight has been cancelled! Rebook immediately,spam
Thanks for the wonderful memories,ham
EXCLUSIVE offer on luxury watches! 95% off,spam
What are you having for breakfast,ham
You've won a free makeover! Schedule your appointment,spam
I'll support you no matter what,ham
URGENT: Your insurance claim needs attention,spam
Can you take out the trash,ham
FREE cryptocurrency! Just create an account,spam
Hope your headache is better,ham
Your online banking is locked! Unlock now,spam
What time is your flight,ham
WINNER! Claim your prize money today,spam
I'll make the reservation,ham
You qualify for reduced insurance rates! Quote now,spam
Can you feed the cat,ham
SHOCKING secret to passive income revealed,spam
Thanks for the ride to work,ham
Your cable service will be interrupted! Pay bill now,spam
What should I cook tonight,ham
FREE designer handbags! Just pay shipping,spam
I'll call you tomorrow,ham
URGENT: Your prescription requires action,spam
Can you sign this form,ham
You've been approved for a platinum card,spam
Hope the presentation goes well,ham
Your smartphone is eligible for upgrade! Click here,spam
What are you reading these days,ham
LAST CHANCE to refinance before rates increase,spam
I'll bring the kids to practice,ham
EXCLUSIVE investment seminar! Secure your future,spam
Can you check on this for me,ham
You have unclaimed rewards! Redeem before expiration,spam
Thanks for making time for me,ham
Your home warranty is ending! Renew today,spam
What time is the interview,ham
FREE trial of premium membership! Join thousands,spam
I'll pick up takeout on the way,ham
URGENT: Your student aid application needs completion,spam
Can you show me how to do this,ham
You've won a luxury watch! Claim your prize,spam
Hope you sleep well tonight,ham
Your email storage is almost full! Upgrade now,spam
What are you doing this evening,ham
SHOCKING: This drink burns fat while you sleep,spam
I'll be at your place soon,ham
ATTENTION: Your payment method is declined,spam
Can you give me directions,ham
You qualify for government benefits! Apply now,spam
Thanks for believing in me,ham
Your computer needs urgent updates! Download now,spam
What should we get for mom,ham
WINNER! You've won a year of free gas,spam
I'll handle the paperwork,ham
EXCLUSIVE Caribbean vacation deal! Book now,spam
Can you look over this email,ham
Your Microsoft Office license is expiring,spam
Hope you have a restful night,ham
URGENT: Your identity may be stolen! Protect yourself,spam
What time is the meeting,ham
FREE smartphones for everyone! Claim yours today,spam
I'll see you later tonight,ham
You've been selected for a paid survey! $100 reward,spam
Can you grab some coffee,ham
Your streaming device needs activation! Click now,spam
Thanks for everything you've done,ham
SHOCKING investment returns! Join today,spam
What are your thoughts on this,ham
You have pending legal documents! Review immediately,spam
I'll let you know tomorrow,ham
EXCLUSIVE offer on vitamins! Life-changing results,spam
Can you come over tonight,ham
Your prize is waiting! Claim within 48 hours,spam
Hope your back feels better,ham
URGENT: Your unemployment benefits are ready,spam
What should we watch,ham
FREE new phone! Upgrade your plan now,spam
I'll take care of it,ham
You qualify for home improvement loans! Apply today,spam
Can you help me decide,ham
WINNER! You've won a shopping spree at Target,spam
Thanks for the great conversation,ham
Your account security alert! Verify immediately,spam
What time do you wake up,ham
EXCLUSIVE online degree program! No classes required,spam
I'll bring the chairs,ham
You have unclaimed property! File your claim,spam
Can you meet for lunch,ham
SHOCKING: This method eliminates wrinkles overnight,spam
Hope you enjoy the concert,ham
Your phone service will be suspended! Pay now,spam
What are you grateful for today,ham
FREE gift cards for completing surveys,spam
I'll be thinking of you,ham
URGENT: Your prescription insurance is ending,spam
Can you drop this off,ham
You've won a trip to Hawaii! Book your dates,spam
Thanks for the good times,ham
Your computer warranty is expiring! Extend coverage,spam
What time works best for you,ham
EXCLUSIVE real estate opportunity! Invest now,spam
I'll send you the details,ham
You qualify for a business loan! No collateral needed,spam
Can you take a look at this,ham
WINNER! Claim your cash prize before midnight,spam
Hope you have sweet dreams,ham
Your social media account needs verification now,spam
What are you listening to,ham
FREE luxury car test drive! Schedule today,spam
I'll keep you posted,ham
URGENT: Your mortgage can be eliminated! Learn how,spam
Can you remind me later,ham
You've been pre-approved for debt consolidation,spam
Thanks for your patience,ham
Your online order cannot be processed! Update info,spam
What did you think of dinner,ham
SHOCKING financial secret! Banks don't want you to know,spam
I'll be right back,ham
EXCLUSIVE cosmetic surgery discount! Limited time,spam
Can you join us for dinner,ham
You have won a brand new gaming console,spam
Hope tomorrow is a better day,ham
Your phone has been selected for an upgrade,spam
What are you doing right now,ham
FREE money-making system! Start earning today,spam
I'll make it up to you,ham
URGENT: Your health insurance is being cancelled,spam
Can you cover for me,ham
You qualify for a free home appraisal,spam
Thanks for understanding,ham
Your loyalty points are expiring! Use them now,spam
What should I tell them,ham
WINNER! You've won concert tickets! Claim now,spam
I'll always be here for you,ham
EXCLUSIVE furniture sale! Everything must go today,spam
Can you save me a plate,ham
Your package requires additional postage! Pay online,spam
Hope you feel proud of yourself,ham
URGENT: Your car loan can be refinanced! Save money,spam
What time should we arrive,ham
FREE professional resume service! Get hired faster,spam
I'll talk to you soon,ham
You've been selected for a focus group! Earn $500,spam
Can you water the garden,ham
SHOCKING: This food is making you sick,spam
Thanks for your kindness,ham
Your electricity provider is overcharging you! Switch now,spam
What are we celebrating,ham
EXCLUSIVE online casino bonus! Win big tonight,spam
I'll grab the mail,ham
You qualify for student loan forgiveness! Apply today,spam
Can you proofread this,ham
WINNER! You've won a year of free groceries,spam
Hope your test results are good,ham
Your cloud storage is full! Upgrade your plan,spam
What's your favorite memory of us,ham
FREE home warranty! Protect your investment,spam
I'll make the arrangements,ham
URGENT: Your retirement account needs attention now,spam
Can you call the restaurant,ham
You've won a designer wardrobe! Claim your prize,spam
Thanks for making me smile,ham
Your cell phone bill can be reduced! Switch carriers,spam
What time is bedtime,ham
EXCLUSIVE penny stock tip! Get rich quick,spam
I'll lock up when I leave,ham
You have inheritance money waiting! Contact us now,spam
Can you fix this,ham
SHOCKING weight loss before and after! Try it free,spam
Hope everything is okay,ham
Your insurance policy is cancelled! Reinstate today,spam
What are you passionate about,ham
FREE credit repair service! Fix your score fast,spam
I'll keep that in mind,ham
URGENT: Your apartment lease is expiring soon,spam
Can you tell me more,ham
You've been approved for a personal line of credit,spam
Thanks for the opportunity,ham
Your phone is running slow! Download optimizer now,spam
What makes you happy,ham
WINNER! You've won a luxury spa package,spam
I'll finish this later,ham
EXCLUSIVE investment club! Members only opportunity,spam
Can you watch my stuff,ham
You qualify for free dental care! Schedule appointment,spam
Hope you're taking care of yourself,ham
Your Netflix password has been changed! Reset it now,spam
What's on your mind,ham
FREE DNA testing kit! Discover your ancestry,spam
I'll get back to you,ham
URGENT: Your medical bills can be reduced! Call now,spam
Can you clarify something,ham
You've won a shopping spree at Amazon! Claim today,spam
Thanks for caring about me,ham
Your home is worth more than you think! Get estimate,spam
What time is convenient,ham
SHOCKING revelation! Reverse aging with this trick,spam
I'll start dinner soon,ham
EXCLUSIVE art investment opportunity! Rare collection,spam
Can you keep a secret,ham
You have unclaimed airline miles! Don't lose them,spam
Hope you're enjoying yourself,ham
Your computer has 23 viruses! Remove them now,spam
What are you thinking about,ham
FREE cash advance! No credit check required,spam
I'll meet you halfway,ham
WINNER! You've won free gas for a year,spam
Can you help me find it,ham
You qualify for VA benefits! Claim what you earned,spam
Thanks for the inspiration,ham
Your PayPal payment is on hold! Confirm details now,spam
What's your plan for today,ham
EXCLUSIVE gold investment opportunity! Prices rising,spam
I'll turn off the oven,ham
URGENT: Your social security is being garnished,spam
Can you recommend something,ham
You've won a free kitchen makeover! Enter to win,spam
Hope you're proud of what you did,ham
Your Amazon account is locked! Unlock immediately,spam
What did you learn today,ham
FREE vacation club membership! Travel the world,spam
I'll clean up after,ham
You have unclaimed tax credits! File before deadline,spam
Can you share that with me,ham
SHOCKING: This herb cures diabetes naturally,spam
Thanks for your honesty,ham
Your Wi-Fi security is weak! Upgrade router now,spam
What are you looking forward to,ham
WINNER! You've won a year of free movies,spam
I'll put it on my calendar,ham
EXCLUSIVE crypto opportunity! 1000X returns guaranteed,spam
Can you print this for me,ham
You qualify for a government grant! No repayment,spam
Hope you're staying safe,ham
Your iPhone storage is full! Clean it now,spam
What would you do differently,ham
FREE meal delivery service! First month on us,spam
I'll charge my phone,ham
URGENT: Your cable will be disconnected tomorrow,spam
Can you translate this,ham
You've won a luxury handbag collection,spam
Thanks for your support always,ham
Your credit card offers cashback! Activate now,spam
What's bothering you,ham
EXCLUSIVE forex trading system! Guaranteed profits,spam
I'll set the alarm,ham
You have 10 unclaimed gift cards! Claim yours,spam
Can you hold this for me,ham
SHOCKING: Eliminate debt in 30 days with this,spam
Hope you get some rest,ham
Your antivirus subscription expired! Renew today,spam
What time should we eat,ham
FREE legal consultation! Accident victims call now,spam
I'll close the windows,ham
WINNER! You've won a year of free streaming,spam
Can you record this,ham
You qualify for rapid weight loss program,spam
Thanks for the lovely day,ham
Your electricity supplier is overcharging! Compare rates,spam
What are your goals,ham
EXCLUSIVE penny auction! Bid and win big,spam
I'll grab some snacks,ham
URGENT: Your college degree can be finished online,spam
Can you validate this,ham
You've won free airline tickets for life,spam
Hope you feel appreciated,ham
Your smartphone needs security update! Install now,spam
What should we do first,ham
FREE hearing aids! Improve your quality of life,spam
I'll be home late tonight,ham
You have unclaimed casino winnings! Collect today,spam
Can you hang this up,ham
SHOCKING secret to clear skin overnight,spam
Thanks for respecting my decision,ham
Your online password has been compromised! Change it,spam
What are you worried about,ham
WINNER! You've won a lifetime gym membership,spam
I'll check the schedule,ham
EXCLUSIVE timeshare exit! Get out of your contract,spam
Can you show me where,ham
You qualify for free home solar installation,spam
Hope you're feeling confident,ham
Your Facebook account login from China detected,spam
What time do you close,ham
FREE personal training sessions! Transform your body,spam
I'll bring the dessert,ham
URGENT: Your car registration is suspended,spam
Can you keep an eye on this,ham
You've won a diamond ring! Claim your jewelry,spam
Thanks for your hard work,ham
Your VPN subscription is ending! Renew for safety,spam
What are you excited about,ham
EXCLUSIVE rare coin collection! Investment opportunity,spam
I'll unload the dishwasher,ham
You have unclaimed inheritance! Legal documents ready,spam
Can you verify this information,ham
SHOCKING: This drink boosts immunity instantly,spam
Hope you know how much you mean to me,ham
Your student loans are forgiven! No payments ever,spam
What should we name the puppy,ham
EXCLUSIVE precious metals! Buy gold before crash,spam
I'll start the laundry,ham
You've won a luxury yacht! Claim this prize,spam
Can you adjust the temperature,ham
FREE online MBA! No GMAT required,spam
Hope you're doing well today,ham
Your smart home system is vulnerable! Secure now,spam
What are you planning,ham
WINNER! You've won $25000 cash instantly,spam
I'll double check that,ham
URGENT: Your property taxes are delinquent,spam
Can you turn down the music,ham
You qualify for free home inspection! Book today,spam
Thanks for the quality time,ham
Your Spotify account has suspicious activity! Verify,spam
What's your favorite season,ham
SHOCKING: Reverse hair loss in 7 days guaranteed,spam
I'll order the cake,ham
EXCLUSIVE rare art! Investment returns 500%,spam
Can you wrap this for me,ham
You have unclaimed sweepstakes money! Withdraw now,spam
Hope you're feeling energized,ham
Your router firmware is outdated! Update immediately,spam
What should we watch next,ham
FREE plastic surgery consultation! Book appointment,spam
I'll take the dog out,ham
WINNER! You've won a year of free pizza,spam
Can you open the door,ham
You qualify for immigration assistance! Free consultation,spam
Thanks for your generosity,ham
Your iCloud is almost full! Buy more storage,spam
What makes you laugh,ham
EXCLUSIVE cryptocurrency mining! Passive income guaranteed,spam
I'll organize the closet,ham
URGENT: Your power of attorney needed! Sign documents,spam
Can you put this away,ham
You've won a lifetime supply of coffee,spam
Hope you feel loved today,ham
Your Gmail account storage full! Upgrade plan now,spam
What time is sunrise,ham
FREE psychic reading! Know your future today,spam
I'll vacuum the floors,ham
You have unclaimed refund! IRS needs your info,spam
Can you turn off the TV,ham
SHOCKING: This vitamin prevents all diseases,spam
Thanks for the memories we share,ham
Your Adobe subscription is expiring! Renew today,spam
What are you dreaming about,ham
WINNER! You've won a brand new motorcycle,spam
I'll check the mail,ham
EXCLUSIVE vintage wine collection! Rare bottles,spam
Can you water the plants,ham
You qualify for free solar panels! Zero cost,spam
Hope you're treating yourself well,ham
Your Xbox Live is expiring! Renew membership now,spam
What's your favorite color,ham
FREE dating profile upgrade! Meet more people,spam
I'll set up the chairs,ham
URGENT: Your business license is expiring soon,spam
Can you fold the laundry,ham
You've won a complete home gym! Claim prize,spam
Thanks for the fun times,ham
Your LinkedIn Premium trial ending! Subscribe now,spam
What are you grateful for,ham
EXCLUSIVE penny stock alert! Insider information,spam
I'll pack your lunch,ham
You have unclaimed scratch ticket winnings,spam
Can you close the garage,ham
SHOCKING: This exercise burns 10X more calories,spam
Hope you sleep peacefully,ham
Your antivirus detected 47 threats! Remove now,spam
What's your dream job,ham
WINNER! You've won a Mediterranean cruise,spam
I'll make some tea,ham
FREE car accident settlement! You deserve money,spam
Can you check the oil,ham
You qualify for subsidized housing! Apply today,spam
Thanks for your friendship always,ham
Your PlayStation Plus is ending! Renew benefits,spam
What inspires you most,ham
EXCLUSIVE wine investment! Liquid gold opportunity,spam
I'll sort the recycling,ham
URGENT: Your will needs updating! Contact lawyer,spam
Can you test this for me,ham
You've won a personal chef for a year,spam
Hope you're feeling hopeful,ham
Your Microsoft 365 license expiring! Extend today,spam
What's your favorite food,ham
FREE tax preparation! Maximize your refund,spam
I'll take out the compost,ham
You have $5000 waiting! Claim your settlement,spam
Can you charge the tablet,ham
SHOCKING: Eliminate cholesterol with this secret,spam
Thanks for being you,ham
Your phone contract is ending! Upgrade device,spam
What do you want to be,ham
WINNER! You've won a year of free massages,spam
I'll feed the fish,ham
EXCLUSIVE land investment! Acreage sale today,spam
Can you lock the gate,ham
You qualify for free life insurance! No medical,spam
Hope you know you're valued,ham
Your YouTube Premium trial ending! Continue now,spam
What's your biggest fear,ham
FREE immigration lawyer! Citizenship help,spam
I'll make the bed,ham
URGENT: Your copyrights are being violated,spam
Can you measure this,ham
You've won an all-inclusive resort week,spam
Thanks for the encouragement today,ham
Your Apple Music subscription ending! Renew plan,spam
What makes you unique,ham
EXCLUSIVE cryptocurrency presale! Early access,spam
I'll check the thermostat,ham
You have unclaimed injury settlement money,spam
Can you rinse the dishes,ham
SHOCKING: This food reverses aging process,spam
Hope you're feeling blessed,ham
Your Norton subscription expired! Renew protection,spam
